CAS,Name,Formula,Elements,Mw
100725-06-2,"N,n-bis(2-cyanoethyl)-4-nitrobenzamide",C13H12N4O3,"['C', 'H', 'N', 'O']",272.0909402633111
1007-26-7,"Benzene, (2,2-dimethylpropyl)-",C11H16,"['C', 'H']",148.125200515824
100-73-2,Acrolein dimer,C6H8O2,"['C', 'H', 'O']",112.0524294970554
1007-32-5,1-Phenyl-2-butanone,C10H12O,"['C', 'H', 'O']",148.0888150064397
1007-36-9,"Urea, N-methyl-N'-phenyl-",C8H10N2O,"['C', 'H', 'N', 'O']",150.07931295082568
1007-42-7,Histidine hydrochloride(L),C6H10ClN3O2,"['C', 'H', 'Cl', 'N', 'O']",191.0461542571994
100-74-3,"Morpholine, 4-ethyl-",C6H13NO,"['C', 'H', 'N', 'O']",115.0997140431107
10075-38-4,"2-Butene, 1,3-dichloro-, (Z)-",C4H6Cl2,"['C', 'H', 'Cl']",123.984655558174
100-75-4,"Piperidine, 1-nitroso-",C5H10N2O,"['C', 'H', 'N', 'O']",114.07931295082571
1007-54-1,"Ethanethiol, 2-benzylamino-,",C9H13NS,"['C', 'H', 'N', 'S']",167.076870597953
10075-69-1,"1,5-Naphthalenediamine,N,N,N',N'-tetramethyl-",C14H18N2,"['C', 'H', 'N']",214.146998589166
10075-72-6,"Naphthalene,1-(methylthio)-",C11H10S,"['C', 'H', 'S']",174.050321496804
10075-73-7,"Naphthalene, 1,4-bis(methylthio)-",C12H12S2,"['C', 'H', 'S']",220.038042735696
10075-74-8,"Naphthalene, 1,5-bis(methylthio)-",C12H12S2,"['C', 'H', 'S']",220.038042735696
10075-77-1,"Naphthalene, 2,6-bis(methylthio)-",C12H12S2,"['C', 'H', 'S']",220.038042735696
10075-83-9,"Anthracene-9,10-bis(methylthio)-",C16H14S2,"['C', 'H', 'S']",270.053692800174
10076-31-0,(Ch3)3cch2N(ch3)2,C7H17N,"['C', 'H', 'N']",115.136099552495
100-76-5,Quinuclidine,C7H13N,"['C', 'H', 'N']",111.10479942353899
1007-73-4,C9H13ClO2,C9H13ClO2,"['C', 'H', 'Cl', 'O']",188.0604073406204
100-79-8,"1,3-Dioxolane-4-methanol, 2,2-dimethyl-",C6H12O3,"['C', 'H', 'O']",132.0786442455831
100-80-1,"Benzene, 1-ethenyl-3-methyl-",C9H10,"['C', 'H']",118.07825032239
100-81-2,"Benzenemethanamine, 3-methyl-",C8H11N,"['C', 'H', 'N']",121.089149359061
1008-17-9,&#945;-Ethyldecalin,C12H22,"['C', 'H']",166.172150709258
100-82-3,M-fluorobenzylamine,C7H8FN,"['C', 'H', 'F', 'N']",125.06407742508318
100-83-4,"Benzaldehyde, 3-hydroxy-",C7H6O2,"['C', 'H', 'O']",122.0367794325774
100-84-5,"Benzene, 1-methoxy-3-methyl-",C8H10O,"['C', 'H', 'O']",122.0731649419617
100852-80-0,"1-methyl-3,5-diethoxycarbonylpyrazole",C10H14N2O4,"['C', 'H', 'N', 'O']",226.0953569384968
100-86-7,"Benzeneethanol, &#945;,&#945;-dimethyl-",C10H14O,"['C', 'H', 'O']",150.10446507091768
1008-74-8,"Isoxazole, 5-methyl-3-phenyl-",C10H9NO,"['C', 'H', 'N', 'O']",159.0684139141547
1008-75-9,"Isoxazole, 3-methyl-5-phenyl-",C10H9NO,"['C', 'H', 'N', 'O']",159.0684139141547
1008-76-0,"2(3H)-Furanone, dihydro-5-phenyl-",C10H10O2,"['C', 'H', 'O']",162.0680795615334
10088-37-6,"N,n'-bis-(4-(6-methyl)1,3,3a,7-tetrazaindenyl)-ethylenediamine",C14H16N10,"['C', 'H', 'N']",324.155940560144
1008-88-4,"Pyridine, 3-phenyl-",C11H9N,"['C', 'H', 'N']",155.073499294583
100-88-9,N-cyclohexylsulfamic acid,C6H13NO3S,"['C', 'H', 'N', 'O', 'S']",179.06161445666808
1008-89-5,"Pyridine, 2-phenyl-",C11H9N,"['C', 'H', 'N']",155.073499294583
100894-06-2,1-(4-Pyrrolidinophenylazo)-2-naphthol,C20H19N3O,"['C', 'H', 'N', 'O']",317.1528122454087
10089-45-9,"1,2,3-Propenetricarboxylic acid, tri(2-methylpropyl) ester",C18H30O6,"['C', 'H', 'O']",342.2042386846002
1008-95-3,5-(4-Aminophenyl)oxazole,C9H8N2O,"['C', 'H', 'N', 'O']",160.0636628863477
100903-70-6,"1,2-Naphthalenedione, 1-[[4-(1-pyrrolidinyl)phenyl]hydrazone], (Z)-",C20H19N3O,"['C', 'H', 'N', 'O']",317.1528122454087
1009-11-6,1-(4-Hydroxyphenyl)-1-butanone,C10H12O2,"['C', 'H', 'O']",164.0837296260114
100-91-4,Eucatropine,C17H25NO3,"['C', 'H', 'N', 'O']",291.1834436691221
